episode,run_0,run_1
210,True,True
211,True,True
212,True,True
213,False,True
214,True,True
215,True,True
216,False,True
217,True,True
218,False,True
219,True,True
220,False,True
221,False,True
222,True,True
223,True,True
224,True,True
225,True,True
226,True,True
227,True,True
228,False,True
229,True,True
230,True,False
231,True,True
232,True,True
233,True,False
234,True,True
235,True,True
236,True,True
237,True,True
238,False,True
239,True,True
240,False,True
241,True,True
242,True,False
243,True,True
244,True,True
245,True,True
246,True,True
247,False,True
248,True,True
249,True,True
250,True,True
251,True,True
252,True,True
253,True,True
254,True,True
255,True,True
256,False,True
257,True,True
258,True,True
259,True,True
260,True,True
261,True,True
262,True,True
263,False,True
264,True,True
265,True,True
266,True,True
267,True,True
268,True,True
269,True,True
270,True,True
271,True,True
272,True,True
273,True,True
274,True,True
275,False,True
276,True,True
277,True,True
278,True,True
279,True,True
280,True,True
281,True,True
282,True,True
283,True,True
284,False,True
285,False,True
286,False,True
287,True,True
288,True,True
289,True,True
290,False,True
291,True,True
292,True,True
293,False,True
294,True,True
295,True,True
296,False,True
297,True,True
298,True,True
299,True,True
300,True,True
301,False,True
302,True,True
303,True,True
304,True,True
305,True,True
306,True,True
307,True,True
308,True,True
309,True,True
310,False,False
311,True,True
312,False,True
313,True,True
314,False,True
315,True,True
316,True,True
317,True,True
318,True,True
319,True,True
320,True,True
321,True,True
322,False,True
323,True,True
324,False,True
325,True,True
326,False,True
327,True,True
328,True,True
329,True,True
330,True,True
331,False,True
332,True,True
333,True,True
334,True,True
335,False,True
336,True,True
337,False,True
338,True,True
339,False,True
340,True,True
341,True,True
342,True,True
343,False,True
344,True,True
345,False,True
346,True,True
347,True,True
348,True,True
349,True,True
350,True,True
351,True,True
352,True,True
353,True,True
354,True,True
355,True,True
356,False,True
357,True,True
358,True,True
359,True,True
360,False,True
361,True,True
362,True,True
363,False,True
364,True,True
365,True,False
366,True,True
367,True,True
368,True,True
369,False,True
370,False,True
371,True,False
372,True,True
373,True,True
374,True,True
375,True,True
376,True,True
377,True,True
378,True,True
379,True,True
380,True,True
381,False,True
382,True,True
383,True,False
384,True,True
385,True,True
386,False,True
387,True,True
388,True,True
389,False,True
390,True,True
391,True,True
392,True,True
393,True,True
394,True,True
395,True,True
396,True,True
397,True,True
398,True,True
399,True,True
400,True,False
401,True,True
402,True,True
403,True,True
404,True,True
405,True,True
406,True,True
407,True,True
408,True,True
409,True,True
410,True,True
411,True,True
412,True,True
413,True,True
414,True,True
415,True,True
416,True,True
417,True,True
418,True,True
419,True,True
420,True,True
421,True,True
422,True,True
423,False,True
424,True,True
425,True,True
426,True,True
427,True,True
428,True,True
429,True,True
430,True,True
431,True,True
432,True,True
433,True,True
434,True,True
435,False,True
436,True,True
437,True,True
438,True,True
439,True,True
440,True,True
441,True,True
442,True,True
443,True,True
444,True,True
445,True,True
446,True,True
447,True,True
448,True,True
449,True,True
450,True,True
451,True,True
452,True,True
453,False,True
454,True,True
455,True,True
456,True,True
457,True,True
458,True,True
459,True,True
460,True,True
461,True,True
462,True,True
463,True,False
464,True,True
465,True,True
466,True,True
467,True,True
468,True,True
469,True,True
470,True,True
471,True,True
472,True,True
473,True,True
474,True,True
475,True,True
476,True,True
477,True,True
478,True,True
479,True,True
480,True,True
481,True,True
482,True,True
483,True,False
484,True,True
485,True,True
486,True,True
487,True,True
488,True,True
489,True,True
490,True,True
491,True,True
492,True,True
493,True,True
494,True,True
495,True,True
496,True,True
497,True,True
498,True,True
499,True,True
500,True,True
501,True,True
502,True,True
503,True,True
504,True,True
505,True,True
506,True,True
507,True,True
508,True,True
509,True,True
510,True,True
511,True,True
512,True,True
513,True,True
514,True,True
515,True,True
516,True,True
517,True,True
518,True,True
519,True,True
520,True,False
521,True,True
522,True,False
523,True,True
524,True,True
525,True,True
526,True,True
527,True,True
528,True,True
529,True,True
530,True,True
531,True,True
532,True,True
533,True,True
534,True,True
535,True,True
536,True,True
537,True,True
538,True,True
539,True,True
540,True,True
541,True,True
542,True,True
543,True,True
544,True,True
545,True,True
546,True,True
547,True,True
548,True,True
549,True,True
550,True,True
551,True,True
552,True,True
553,True,True
554,True,True
555,True,True
556,True,True
557,True,True
558,True,True
559,True,True
560,True,True
561,True,True
562,True,False
563,True,True
564,True,True
565,True,True
566,True,False
567,True,True
568,True,True
569,True,True
570,True,True
571,True,True
572,True,True
573,True,True
574,True,True
575,True,False
576,True,True
577,True,True
578,True,True
579,True,True
580,True,True
581,True,True
582,True,True
583,True,True
584,True,True
585,True,True
586,True,True
587,True,True
588,True,True
589,True,True
590,True,True
591,True,True
592,True,True
593,True,True
594,True,False
595,True,True
596,True,True
597,True,True
598,True,False
599,True,True
600,True,True
601,True,True
602,True,True
603,True,True
604,True,True
605,True,True
606,True,True
607,True,True
608,True,True
609,True,True
610,True,True
611,True,True
612,True,True
613,True,True
614,True,True
615,True,True
616,True,True
617,True,True
618,True,True
619,True,True
620,True,True
621,True,True
622,True,True
623,True,True
624,True,True
625,True,True
626,True,True
627,True,True
628,True,True
629,True,True
630,True,True
631,True,True
632,True,True
633,True,True
634,True,True
635,True,True
636,True,True
637,True,True
638,True,True
639,True,True
640,True,True
641,True,True
642,True,True
643,True,True
644,True,True
645,True,True
646,True,True
647,True,True
648,True,True
649,True,True
650,True,True
651,True,True
652,True,True
653,True,True
654,True,True
655,True,True
656,True,True
657,True,True
658,True,True
659,True,True
660,True,True
661,True,True
662,True,True
663,True,True
664,True,True
665,True,True
666,True,True
667,True,True
668,True,True
669,True,True
670,True,False
671,True,True
672,True,True
673,True,True
674,True,True
675,True,True
676,True,True
677,True,True
678,True,True
679,True,True
680,True,True
681,True,True
682,True,True
683,True,True
684,True,True
685,True,False
686,True,True
687,True,True
688,True,True
689,True,True
690,True,True
691,True,True
692,True,True
693,False,False
694,True,True
695,True,True
696,True,True
697,True,True
698,True,True
699,True,False
700,True,True
701,True,True
702,True,True
703,True,True
704,True,False
705,True,True
706,True,True
707,True,True
708,True,True
709,True,True
710,True,False
711,True,True
712,True,True
713,True,True
714,True,True
715,True,True
716,True,True
717,True,True
718,True,True
719,True,True
720,True,True
721,True,True
722,True,True
723,False,True
724,True,True
725,True,True
726,True,True
727,True,True
728,True,True
729,True,True
730,True,True
731,True,True
732,True,True
733,True,True
734,True,True
735,True,True
736,True,True
737,True,True
738,True,True
739,True,True
740,True,True
741,True,True
742,True,True
743,True,True
744,True,False
745,True,True
746,True,True
747,True,False
748,True,True
749,True,True
750,True,False
751,True,True
752,True,True
753,True,True
754,True,True
755,True,True
756,True,False
757,True,True
758,True,True
759,True,True
760,True,True
761,True,True
762,True,True
763,True,True
764,True,True
765,True,True
766,True,False
767,True,True
768,True,True
769,True,True
770,True,True
771,True,True
772,True,True
773,True,True
774,True,True
775,True,True
776,True,True
777,True,True
778,True,True
779,True,True
780,True,True
781,True,True
782,True,True
783,True,True
784,True,True
785,True,True
786,True,True
787,True,True
788,True,True
789,False,True
790,False,True
791,True,True
792,True,True
793,True,True
794,True,True
795,True,True
796,True,True
797,True,False
798,True,True
799,True,True
800,True,True
801,True,True
802,True,True
803,True,True
804,True,True
805,True,True
806,True,True
807,True,True
808,True,True
809,True,True
810,True,True
811,True,True
812,True,True
813,True,True
814,True,True
815,True,True
816,True,True
817,True,True
818,True,True
819,True,True
820,True,True
821,True,False
822,True,True
823,True,True
824,True,True
825,True,True
826,True,True
827,True,True
828,True,True
829,True,True
830,True,False
831,True,True
832,True,True
833,True,True
834,True,True
835,True,True
836,True,True
837,True,True
838,True,True
839,True,True
840,True,False
841,True,True
842,True,True
843,True,True
844,True,True
845,True,True
846,True,True
847,True,True
848,True,True
849,True,True
850,True,True
851,True,False
852,True,True
853,True,True
854,True,True
855,True,True
856,True,True
857,True,True
858,True,True
859,True,True
860,True,True
861,True,True
862,True,True
863,True,True
864,True,True
865,True,True
866,True,True
867,True,True
868,True,True
869,True,True
870,True,True
871,True,True
872,True,True
873,True,True
874,True,True
875,True,True
876,True,True
877,True,True
878,True,True
879,True,True
880,True,True
881,True,True
882,True,True
883,True,True
884,True,True
885,True,True
886,True,True
887,True,False
888,True,False
889,True,True
890,True,True
891,True,False
892,True,True
893,True,True
894,True,True
895,True,True
896,True,True
897,True,True
898,True,True
899,True,True
900,True,True
901,True,True
902,True,True
903,True,False
904,True,True
905,True,True
906,True,True
907,True,True
908,True,True
909,True,True
910,True,False
911,True,True
912,True,True
913,True,False
914,True,True
915,True,True
916,True,True
917,True,True
918,True,True
919,True,True
920,True,True
921,True,True
922,True,True
923,True,True
924,True,True
925,True,True
926,False,True
927,True,True
928,True,True
929,True,True
930,True,True
931,True,False
932,True,True
933,True,True
934,True,True
935,True,False
936,True,True
937,True,True
938,True,False
939,True,True
940,True,False
941,True,True
942,True,True
943,True,True
944,True,True
945,True,True
946,True,True
947,True,True
948,True,True
949,True,True
950,True,True
951,True,True
952,True,True
953,True,True
954,True,True
955,True,True
956,True,True
957,True,True
958,True,True
959,True,True
960,True,True
961,True,True
962,True,True
963,True,True
964,True,True
965,True,False
966,True,False
967,False,True
968,True,True
969,True,True
970,True,True
971,True,True
972,True,True
973,True,True
974,True,True
975,True,True
976,True,True
977,True,True
978,True,True
979,True,True
980,True,True
981,True,True
982,True,True
983,True,True
984,True,True
985,True,True
986,True,True
987,True,True
988,True,True
989,True,True
990,True,True
991,True,False
992,True,True
993,True,True
994,True,False
995,True,False
996,True,True
997,True,True
998,True,False
999,False,True
1000,True,True
1001,True,False
1002,True,True
1003,True,True
1004,True,True
1005,True,True
1006,True,True
1007,True,True
1008,True,True
1009,True,True
1010,True,True
1011,False,True
1012,True,False
1013,True,True
1014,True,True
1015,True,True
1016,True,True
1017,True,True
1018,True,True
1019,True,True
1020,True,True
1021,True,True
1022,True,True
1023,False,False
1024,True,True
1025,True,True
1026,True,True
1027,True,True
1028,True,True
1029,True,True
1030,True,True
1031,True,True
1032,True,True
1033,True,True
1034,True,True
1035,True,True
1036,True,True
1037,True,True
1038,True,True
1039,True,True
1040,True,False
1041,True,True
1042,True,True
1043,True,True
1044,True,True
1045,True,True
1046,True,True
1047,True,True
1048,True,False
1049,True,True
1050,True,False
1051,True,True
1052,False,True
1053,True,True
1054,False,True
1055,True,True
1056,True,True
1057,True,True
1058,True,True
1059,True,True
1060,True,True
1061,True,True
1062,True,False
1063,False,True
1064,True,True
1065,True,True
1066,True,True
1067,True,False
1068,True,True
1069,True,True
1070,True,True
1071,True,True
1072,True,True
1073,True,True
1074,True,True
1075,True,True
1076,True,True
1077,True,True
1078,True,True
1079,True,False
1080,True,True
1081,True,True
1082,True,True
1083,True,True
1084,True,True
1085,True,True
1086,True,True
1087,True,True
1088,True,False
1089,True,True
1090,True,True
1091,True,True
1092,True,False
1093,True,True
1094,False,False
1095,True,False
1096,True,True
1097,True,True
1098,True,True
1099,True,False
1100,True,True
1101,True,True
1102,True,True
1103,True,False
1104,True,True
1105,True,True
1106,True,True
1107,True,True
1108,False,False
1109,True,True
1110,True,True
1111,True,True
1112,True,True
1113,True,True
1114,True,False
1115,False,True
1116,True,True
1117,True,True
1118,True,True
1119,True,True
1120,True,True
1121,True,True
1122,True,True
1123,True,True
1124,True,True
1125,True,True
1126,True,True
1127,True,True
1128,True,True
1129,True,True
1130,True,False
1131,True,True
1132,True,False
1133,False,True
1134,True,True
1135,True,True
1136,True,True
1137,False,True
1138,True,False
1139,True,True
1140,True,True
1141,True,True
1142,True,True
1143,True,True
1144,True,True
1145,True,True
1146,True,False
1147,True,True
1148,False,False
1149,True,False
1150,True,True
1151,True,True
1152,True,False
1153,True,True
1154,True,False
1155,False,True
1156,True,True
1157,True,True
1158,True,True
1159,True,True
1160,True,True
1161,True,True
1162,True,True
1163,True,False
1164,True,True
1165,True,True
1166,True,True
1167,True,True
1168,True,True
1169,True,True
1170,True,True
1171,True,False
1172,True,True
1173,True,True
1174,True,True
1175,True,True
1176,True,True
1177,True,True
1178,True,True
1179,True,True
1180,True,True
1181,True,True
1182,True,True
1183,True,False
1184,True,True
1185,True,True
1186,True,False
1187,True,True
1188,True,False
1189,True,True
1190,True,True
1191,True,True
1192,True,False
1193,True,True
1194,True,True
1195,True,True
1196,True,True
1197,True,True
1198,True,True
1199,True,True
1200,True,True
1201,True,True
1202,True,True
1203,True,True
1204,True,True
1205,True,True
1206,True,True
1207,True,True
1208,True,True
1209,True,True
1210,True,True
1211,False,True
1212,True,True
1213,True,True
1214,True,True
1215,True,True
1216,True,True
1217,True,True
1218,True,True
1219,True,True
1220,True,True
1221,True,True
1222,True,False
1223,True,True
1224,True,True
1225,True,True
1226,True,True
1227,True,True
1228,True,True
1229,True,True
1230,True,True
1231,True,True
1232,True,True
1233,True,True
1234,True,True
1235,True,False
1236,True,True
1237,True,True
1238,True,True
1239,True,True
1240,True,True
1241,True,True
1242,True,True
1243,True,True
1244,True,True
1245,True,False
1246,True,True
1247,True,True
1248,True,False
1249,True,True
1250,True,True
1251,True,True
1252,True,True
1253,True,False
1254,False,True
1255,True,False
1256,True,True
1257,True,True
1258,True,True
1259,True,True
1260,True,False
1261,True,False
1262,True,True
1263,True,True
1264,True,True
1265,True,True
1266,True,True
1267,True,False
1268,True,True
1269,True,True
1270,True,True
1271,True,True
1272,True,True
1273,True,True
1274,True,True
1275,True,True
1276,True,True
1277,True,True
1278,True,False
1279,True,True
1280,True,True
1281,True,True
1282,True,True
1283,True,True
1284,True,True
1285,True,True
1286,True,False
1287,True,True
1288,True,True
1289,True,True
1290,True,True
1291,True,True
1292,True,False
1293,True,False
1294,True,True
1295,True,True
1296,True,True
1297,True,True
1298,True,True
1299,False,True
1300,True,True
1301,False,True
1302,False,True
1303,True,True
1304,True,True
1305,True,True
1306,True,True
1307,True,True
1308,True,False
1309,True,True
1310,True,True
1311,True,True
1312,True,True
1313,True,True
1314,False,True
1315,True,True
1316,False,True
1317,False,True
1318,True,True
1319,True,True
1320,True,True
1321,True,True
1322,True,True
1323,True,False
1324,True,True
1325,True,True
1326,True,True
1327,True,True
1328,True,True
1329,True,True
1330,True,True
1331,True,True
1332,True,True
1333,True,True
1334,True,False
1335,True,False
1336,True,True
1337,False,True
1338,True,True
1339,True,True
1340,True,True
1341,True,True
1342,False,True
1343,True,True
1344,True,False
1345,True,True
1346,True,True
1347,False,True
1348,True,False
1349,True,False
1350,True,True
1351,True,True
1352,True,True
1353,True,True
1354,False,True
1355,True,False
1356,True,True
1357,True,True
1358,True,False
1359,True,True
1360,True,True
1361,True,True
1362,True,True
1363,True,True
1364,True,True
1365,True,True
1366,True,True
1367,True,True
1368,True,False
1369,True,True
1370,True,True
1371,True,True
1372,True,True
1373,False,True
1374,True,False
1375,True,True
1376,True,True
1377,True,False
1378,True,True
1379,True,True
1380,True,True
1381,True,False
1382,True,True
1383,True,True
1384,True,False
1385,True,True
1386,True,True
1387,True,True
1388,True,True
1389,True,True
1390,True,True
1391,True,True
1392,True,True
1393,True,False
1394,True,True
1395,False,True
1396,True,True
1397,True,True
1398,True,False
1399,True,False
1400,True,True
1401,True,False
1402,True,True
1403,False,True
1404,True,True
1405,True,True
1406,True,True
1407,True,False
1408,True,False
1409,True,True
1410,True,False
1411,False,True
1412,True,True
1413,True,True
1414,True,False
1415,True,False
1416,True,True
1417,True,True
1418,True,False
1419,True,False
1420,True,True
1421,True,True
1422,True,False
1423,True,True
1424,True,True
1425,True,True
1426,True,True
1427,True,True
1428,True,True
1429,True,True
1430,True,False
1431,True,True
1432,True,True
1433,True,True
1434,True,True
1435,True,True
1436,True,True
1437,True,True
1438,True,True
1439,True,True
1440,True,True
1441,True,True
1442,True,True
1443,False,True
1444,True,True
1445,True,True
1446,True,True
1447,True,True
1448,True,True
1449,True,False
1450,True,True
1451,True,True
1452,True,True
1453,True,True
1454,True,True
1455,False,False
1456,True,True
1457,True,True
1458,True,True
1459,True,True
1460,False,False
1461,True,True
1462,True,True
1463,True,True
1464,False,True
1465,True,True
1466,True,True
1467,True,True
1468,False,True
1469,True,True
1470,True,True
1471,True,True
1472,True,True
1473,True,True
1474,True,True
1475,True,True
1476,True,True
1477,True,True
1478,True,True
1479,False,True
1480,True,False
1481,True,True
1482,True,True
1483,True,True
1484,True,True
1485,True,True
1486,True,True
1487,True,True
1488,True,True
1489,True,True
1490,True,True
1491,True,True
1492,False,True
1493,True,True
1494,True,True
1495,True,True
1496,True,True
1497,True,True
1498,True,True
1499,True,True
1500,True,True
1501,True,True
1502,True,True
1503,True,True
1504,True,True
1505,True,True
1506,True,True
1507,True,False
1508,False,True
1509,True,False
1510,True,True
1511,True,True
1512,True,True
1513,True,True
1514,True,False
1515,False,True
1516,True,False
1517,True,True
1518,True,True
1519,True,False
1520,True,True
1521,True,False
1522,True,True
1523,True,True
1524,True,True
1525,True,True
1526,True,True
1527,False,True
1528,True,True
1529,True,False
1530,True,True
1531,True,True
1532,True,True
1533,True,True
1534,True,True
1535,True,True
1536,True,True
1537,True,True
1538,False,True
1539,True,True
1540,True,True
1541,True,True
1542,True,True
1543,True,True
1544,True,True
1545,True,True
1546,True,True
1547,True,True
1548,True,True
1549,False,True
1550,True,True
1551,True,True
1552,True,True
1553,True,True
1554,True,True
1555,True,True
1556,True,True
1557,True,False
1558,True,True
1559,False,True
1560,True,True
1561,True,True
1562,True,True
1563,True,True
1564,True,False
1565,True,True
1566,True,True
1567,True,True
1568,True,True
1569,True,True
1570,True,True
1571,False,True
1572,True,True
1573,True,True
1574,True,False
1575,True,True
1576,True,True
1577,True,True
1578,True,True
1579,True,True
1580,True,True
1581,True,True
1582,True,True
1583,False,True
1584,True,True
1585,True,True
1586,True,True
1587,True,False
1588,True,True
1589,True,False
1590,True,True
1591,True,True
1592,True,True
1593,True,True
1594,True,True
1595,True,True
1596,True,True
1597,True,True
1598,True,False
1599,True,True
1600,True,True
1601,True,True
1602,False,True
1603,True,True
1604,True,True
1605,True,True
1606,True,False
1607,True,True
1608,True,True
1609,True,True
1610,True,True
1611,True,False
1612,True,True
1613,True,True
1614,True,True
1615,True,True
1616,True,True
1617,True,True
1618,True,True
1619,True,True
1620,False,False
1621,True,True
1622,False,True
1623,True,True
1624,True,True
1625,True,True
1626,True,True
1627,True,True
1628,True,True
1629,True,False
1630,True,True
1631,True,True
1632,True,True
1633,True,True
1634,True,True
1635,True,False
1636,True,True
1637,True,True
1638,True,True
1639,True,True
1640,True,False
1641,True,True
1642,True,True
1643,False,True
1644,True,True
1645,True,True
1646,True,True
1647,True,True
1648,True,False
1649,True,True
1650,True,False
1651,True,True
1652,True,True
1653,True,False
1654,True,True
1655,False,True
1656,True,False
1657,True,True
1658,True,True
1659,True,True
1660,True,False
1661,True,True
1662,True,True
1663,True,True
1664,True,True
1665,True,True
1666,True,True
1667,True,True
1668,True,True
1669,True,True
1670,False,True
1671,True,False
1672,True,True
1673,False,True
1674,True,True
1675,False,True
1676,True,True
1677,True,False
1678,False,True
1679,True,True
1680,True,False
1681,True,True
1682,True,True
1683,True,True
1684,False,True
1685,False,True
1686,True,True
1687,True,True
1688,True,True
1689,True,True
1690,True,True
1691,True,True
1692,True,True
1693,True,True
1694,True,True
1695,True,True
1696,True,True
1697,True,True
1698,True,False
1699,False,True
1700,True,True
1701,True,True
1702,True,True
1703,False,True
1704,True,False
1705,True,True
1706,True,True
1707,True,True
1708,True,True
1709,True,False
1710,True,True
1711,True,True
1712,True,True
1713,True,True
1714,True,False
1715,True,True
1716,True,True
1717,True,True
1718,False,True
1719,True,True
1720,True,True
1721,True,True
1722,True,True
1723,False,True
1724,True,True
1725,False,True
1726,True,True
1727,False,True
1728,False,True
1729,True,False
1730,True,True
1731,False,True
1732,True,False
1733,True,True
1734,True,True
1735,True,False
1736,True,True
1737,True,True
1738,True,True
1739,True,True
1740,True,True
1741,True,False
1742,True,True
1743,True,True
1744,True,True
1745,True,True
1746,False,True
1747,True,True
1748,True,False
1749,True,True
1750,True,True
1751,True,False
1752,True,True
1753,False,False
1754,True,False
1755,True,True
1756,True,True
1757,True,True
1758,True,True
1759,True,True
1760,True,True
1761,True,True
1762,True,True
1763,True,True
1764,False,True
1765,True,True
1766,True,True
1767,True,True
1768,True,True
1769,False,True
1770,False,True
1771,True,True
1772,True,True
1773,False,True
1774,True,True
1775,True,True
1776,True,True
1777,True,True
1778,True,True
1779,True,True
1780,True,True
1781,True,True
1782,True,False
1783,True,False
1784,True,True
1785,True,True
1786,True,False
1787,True,True
1788,True,True
1789,True,True
1790,True,True
1791,True,True
1792,True,False
1793,True,True
1794,True,True
1795,True,True
1796,True,True
1797,True,True
1798,True,True
1799,True,False
1800,True,False
1801,True,True
1802,True,True
1803,True,True
1804,True,False
1805,True,True
1806,True,False
1807,True,True
1808,True,True
1809,True,False
1810,False,True
1811,True,True
1812,True,False
1813,True,True
1814,True,False
1815,False,False
1816,True,True
1817,True,True
1818,True,True
1819,False,True
1820,True,True
1821,True,True
1822,True,True
1823,False,True
1824,True,True
1825,True,True
1826,False,True
1827,True,True
1828,True,True
1829,True,True
1830,True,True
1831,True,True
1832,True,False
1833,True,False
1834,True,False
1835,False,True
1836,True,True
1837,True,True
1838,True,False
1839,True,True
1840,True,True
1841,True,False
1842,False,True
1843,True,True
1844,True,True
1845,True,True
1846,True,True
1847,True,True
1848,True,True
1849,False,True
1850,True,True
1851,True,True
1852,True,True
1853,True,True
1854,True,True
1855,True,False
1856,True,False
1857,True,True
1858,True,True
1859,True,False
1860,True,True
1861,True,True
1862,True,True
1863,True,True
1864,True,True
1865,True,True
1866,True,True
1867,True,True
1868,True,True
1869,True,True
1870,True,True
1871,False,False
1872,True,True
1873,True,True
1874,False,False
1875,True,True
1876,True,True
1877,True,False
1878,True,True
1879,True,True
1880,False,True
1881,True,True
1882,True,False
1883,False,True
1884,False,True
1885,True,True
1886,True,False
1887,True,True
1888,True,True
1889,True,True
1890,True,True
1891,True,True
1892,True,True
1893,True,True
1894,False,False
1895,True,False
1896,True,True
1897,False,True
1898,True,True
1899,True,True
1900,True,True
1901,True,True
1902,True,True
1903,True,True
1904,False,True
1905,True,True
1906,True,True
1907,True,True
1908,True,True
1909,True,True
1910,True,True
1911,True,True
1912,True,True
1913,True,True
1914,True,True
1915,True,True
1916,True,True
1917,True,True
1918,True,False
1919,False,True
1920,True,True
1921,True,True
1922,False,True
1923,True,True
1924,True,True
1925,True,True
1926,False,True
1927,True,True
1928,False,True
1929,False,True
1930,True,True
1931,True,True
1932,True,True
1933,True,True
1934,True,True
1935,True,True
1936,True,True
1937,True,False
1938,True,True
1939,True,True
1940,True,True
1941,False,True
1942,True,True
1943,True,True
1944,True,True
1945,True,True
1946,False,True
1947,True,True
1948,True,True
1949,True,True
1950,True,True
1951,True,True
1952,True,True
1953,False,False
1954,True,True
1955,True,True
1956,True,True
1957,True,True
1958,True,True
1959,False,True
1960,True,True
1961,True,True
1962,True,True
1963,False,False
1964,True,True
1965,True,True
1966,False,True
1967,True,True
1968,True,True
1969,True,True
1970,True,True
1971,True,True
1972,True,True
1973,True,True
1974,True,True
1975,False,True
1976,True,True
1977,True,True
1978,True,True
1979,True,True
1980,True,True
1981,True,True
1982,True,True
1983,True,True
1984,True,True
1985,False,False
1986,True,True
1987,True,False
1988,True,True
1989,True,True
1990,True,False
1991,False,True
1992,True,True
1993,True,False
1994,True,True
1995,True,True
1996,True,True
1997,True,True
1998,True,False
1999,True,True
2000,True,True
2001,False,True
2002,True,True
2003,True,True
2004,False,True
2005,True,True
2006,True,True
2007,True,True
2008,True,True
2009,True,True
2010,True,True
2011,True,True
2012,True,False
2013,True,True
2014,False,True
2015,True,False
2016,False,True
2017,True,True
2018,True,True
2019,False,False
2020,True,True
2021,True,True
2022,True,True
2023,False,True
2024,True,True
2025,True,False
2026,True,True
2027,False,True
2028,True,True
2029,True,True
2030,True,False
2031,True,True
2032,True,True
2033,True,True
2034,True,True
2035,True,False
2036,True,True
2037,True,True
2038,True,True
2039,True,True
2040,True,True
2041,True,False
2042,True,True
2043,True,True
2044,True,True
2045,True,True
2046,True,True
2047,True,True
2048,True,True
2049,True,True
2050,True,True
2051,True,True
2052,True,True
2053,True,True
2054,True,True
2055,True,True
2056,True,True
2057,True,False
2058,True,True
2059,True,True
2060,True,True
2061,True,True
2062,False,True
2063,False,True
2064,True,True
2065,True,False
2066,False,True
2067,True,True
2068,True,False
2069,True,True
2070,True,True
2071,True,True
2072,True,True
2073,True,True
2074,False,True
2075,True,True
2076,True,False
2077,True,True
2078,True,True
2079,True,True
2080,True,False
2081,False,True
2082,True,True
2083,True,True
2084,True,True
2085,True,True
2086,True,True
2087,True,True
2088,True,True
2089,False,True
2090,False,False
2091,False,True
2092,False,True
2093,True,False
2094,False,False
2095,True,False
2096,True,False
2097,True,True
2098,True,True
2099,False,True
2100,True,True
2101,True,True
2102,True,True
2103,True,True
2104,True,False
2105,True,True
2106,True,True
2107,True,True
2108,True,True
2109,True,True
2110,True,False
2111,True,False
2112,True,True
2113,False,True
2114,False,True
2115,True,False
2116,True,True
2117,True,True
2118,True,True
2119,False,True
2120,True,False
2121,True,True
2122,False,True
2123,True,True
2124,False,True
2125,False,False
2126,True,True
2127,False,False
2128,True,True
2129,True,True
2130,True,False
2131,True,True
2132,False,False
2133,True,True
2134,True,True
2135,True,True
2136,True,True
2137,True,True
2138,False,True
